doi,inspire_id,title,num_authors,journal_title,journal_volume,year,page_start,page_end,arxiv_eprint,record_url
10.1016/j.physrep.2024.12.002,2764068,Review of top quark mass measurements in CMS,2335,Phys.Rept.,1115,2025,116,218,2403.01313,https://inspirehep.net/record/2764068
10.1038/s41467-025-56200-6,2741119,Elliptic anisotropy measurement of the f$_{0}$(980) hadron in proton-lead collisions and evidence for its quark-antiquark composition,2337,Nature Commun.,16,2025,,,2312.17092,https://inspirehep.net/record/2741119
10.1140/epjc/s10052-024-13606-8,2741343,"Measurement of multidifferential cross sections for dijet production in proton–proton collisions at $\sqrt{s} = 13\,\text {Te}\hspace{-.08em}\text {V} $",2327,Eur.Phys.J.C,85,2025,72,,2312.16669,https://inspirehep.net/record/2741343
10.1016/j.physletb.2025.139556,2904406,Observation of nuclear modification of energy-energy correlators inside jets in heavy ion collisions,2383,Phys.Lett.B,866,2025,,,2503.19993,https://inspirehep.net/record/2904406
10.1016/j.physletb.2025.139651,2862527,Determination of the strong coupling and its running from measurements of inclusive jet production,2383,Phys.Lett.B,868,2025,,,2412.16665,https://inspirehep.net/record/2862527
10.1007/JHEP06(2025)120,2890802,Search for medium effects using jet axis decorrelation in inclusive jets from PbPb collisions at $\sqrt{{s}_{\text{NN}}}$ = 5.02 TeV,2394,JHEP,06,2025,120,,2502.13020,https://inspirehep.net/record/2890802
10.1016/j.physrep.2024.09.004,2771692,Searches for Higgs boson production through decays of heavy resonances,2404,Phys.Rept.,1115,2025,368,447,2403.16926,https://inspirehep.net/record/2771692
10.1007/JHEP07(2025)118,2911293,Search for jet quenching with dijets from high-multiplicity pPb collisions at $\sqrt{{s}_{\text{NN}}}$ = 8.16 TeV,2391,JHEP,07,2025,118,,2504.08507,https://inspirehep.net/record/2911293
10.1007/JHEP08(2025)156,2902874,Search for vector-like leptons with long-lived particle decays in the CMS muon system in proton-proton collisions at $\sqrt{\text{s}}$ = 13 TeV,2392,JHEP,08,2025,156,,2503.16699,https://inspirehep.net/record/2902874
10.1103/w9kp-f8xr,2899343,"Probing Gluon Fluctuations in Nuclei with the First Energy-Dependent Measurement of Incoherent <math display=""inline""><mi>J</mi><mo>/</mo><mi>ψ</mi></math> Photoproduction in Ultraperipheral PbPb Collisions",2389,Phys.Rev.Lett.,135,2025,,,2503.08903,https://inspirehep.net/record/2899343
10.1103/c9wp-5tq3,2896594,"Observation of the Charged-Particle Multiplicity Dependence of <math display=""inline""><mrow><msub><mrow><mi>σ</mi></mrow><mrow><mi>ψ</mi><mo stretchy=""false"">(</mo><mn>2</mn><mi>S</mi><mo stretchy=""false"">)</mo></mrow></msub><mo>/</mo><msub><mrow><mi>σ</mi></mrow><mrow><mi>J</mi><mo>/</mo><mi>ψ</mi></mrow></msub></mrow></math> in <math display=""inline""><mi>p</mi></math>-Pb Collisions at 8.16 TeV",2389,Phys.Rev.Lett.,135,2025,,,2503.02139,https://inspirehep.net/record/2896594
10.1103/t5kp-vsv7,2878694,"Evidence for Similar Collectivity of High Transverse-Momentum Particles in <math display=""inline""><mi>p</mi></math>-Pb and Pb-Pb Collisions",2401,Phys.Rev.Lett.,135,2025,,,2502.07525,https://inspirehep.net/record/2878694
10.1007/JHEP09(2025)141,2904618,Search for dark matter production in association with a single top quark in proton-proton collisions at $\sqrt{{\varvec{s}}}=13$ TeV,2401,JHEP,09,2025,141,,2503.20033,https://inspirehep.net/record/2904618
10.1103/6ywq-gm61,2879229,"Observation of <math display=""inline""><mi mathvariant=""normal"">Λ</mi></math> Hyperon Local Polarization in <math display=""inline""><mi>p</mi></math>-Pb Collisions at <math display=""inline""><mrow><msqrt><mrow><msub><mrow><mi>s</mi></mrow><mrow><mi>NN</mi></mrow></msub></mrow></msqrt><mo>=</mo><mn>8.16</mn><mtext> </mtext><mtext> </mtext><mi>TeV</mi></mrow></math>",2405,Phys.Rev.Lett.,135,2025,,,2502.07898,https://inspirehep.net/record/2879229
10.1007/JHEP06(2025)144,2878311,Search for bosons of an extended Higgs sector in b quark final states in proton-proton collisions at $ \sqrt{\textrm{s}} $ = 13 TeV,2393,JHEP,06,2025,144,,2502.06568,https://inspirehep.net/record/2878311
10.1007/JHEP05(2025)079,2872501,Measurements of the Higgs boson production cross section in the four-lepton final state in proton-proton collisions at $\sqrt{s}$ = 13.6 TeV,2390,JHEP,05,2025,079,,2501.14849,https://inspirehep.net/record/2872501
10.1007/JHEP10(2025)074,2872775,Search for a heavy pseudoscalar Higgs boson decaying to a 125 GeV Higgs boson and a Z boson in final states with two tau and two light leptons in proton-proton collisions at $\sqrt{s}=13$ TeV,2388,JHEP,10,2025,074,,2501.14825,https://inspirehep.net/record/2872775
